final_price,list_price,bedrooms,Dens,bathrooms,size,parking,type,latitude,longitude,mean_district_income,district_code,School_min_dist_km
545000,559900,3,2,3,1300,1,Condo Townhouse,43.7428606,-79.6001328,31771,1,0.575218072
334000,333289,1,0,1,550,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
448500,449900,2,0,1,750,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
402500,389900,1,1,1,650,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
530000,539000,3,1,2,1500,3,Condo Townhouse,43.7437607,-79.5987617,31771,1,0.456444599
365000,360000,1,1,1,750,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
720000,599900,3,1,2,1750,4,Detached,43.7211547,-79.5839893,31771,1,0.433602485
839000,839000,3,2,3,1750,6,Detached,43.7250522,-79.5845975,31771,1,0.388484675
451000,443900,2,0,2,850,1,Comm Element Condo,43.7246581,-79.6154278,31771,1,0.558697414
830000,869000,4,2,3,1750,3,Detached,43.7249529,-79.5831482,31771,1,0.276835949
470000,479900,2,1,2,850,2,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
529000,539900,3,2,3,1300,1,Condo Townhouse,43.7440093,-79.6012774,31771,1,0.492323625
360000,369999,1,0,1,550,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
440000,420000,2,1,2,750,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
400000,399000,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
415500,399900,1,1,1,650,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
421000,424900,1,1,1,650,1,Comm Element Condo,43.7246581,-79.6154278,31771,1,0.558697414
560000,550000,4,0,2,1500,1,Condo Townhouse,43.7424092,-79.5985165,31771,1,0.558637889
450000,500000,3,1,2,1300,1,Condo Townhouse,43.7340431,-79.5933934,31771,1,0.304182343
798000,829888,4,0,3,2250,4,Detached,43.720223,-79.6156864,31771,1,1.002866398
362000,382500,1,0,1,550,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
460000,464900,2,0,2,850,1,Comm Element Condo,43.7317441,-79.5772925,31771,1,0.584261384
460000,462500,2,0,2,850,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
399300,404800,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
370000,374999,1,0,1,650,11,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
370000,385000,1,0,1,550,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
540000,549900,4,1,4,1300,1,Condo Townhouse,43.7428606,-79.6001328,31771,1,0.575218072
403000,405000,1,1,2,750,1,Comm Element Condo,43.7203841,-79.6032718,31771,1,1.419726181
380000,389900,1,0,1,650,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
455000,459900,2,0,2,850,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
438000,449900,2,0,2,850,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
390000,399900,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
403000,405000,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
360000,369900,1,1,1,550,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
420000,438000,2,0,1,750,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
490000,499900,3,1,2,1300,2,Condo Townhouse,43.7407901,-79.5940183,31771,1,0.301536696
595000,597500,3,1,3,1500,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
410000,415000,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
